import time: self [us] | cumulative | imported package
import time:       156 |       1793 |                     sqlalchemy.event.api
import time:       106 |       1898 |                   sqlalchemy.event
import time:       286 |        286 |                         sqlalchemy.log
import time:      1600 |       1886 |                       sqlalchemy.pool.base
import time:       610 |       2496 |                     sqlalchemy.pool.events
import time:       318 |        318 |                       sqlalchemy.util.queue
import time:       399 |        717 |                     sqlalchemy.pool.impl
import time:       180 |       3391 |                   sqlalchemy.pool
import time:       624 |        624 |                         sqlalchemy.sql.roles
import time:       326 |        326 |                         sqlalchemy.inspection
import time:      1496 |       2445 |                       sqlalchemy.sql._typing
import time:       988 |        988 |                         sqlalchemy.sql.visitors
import time:       880 |        880 |                         sqlalchemy.sql.cache_key
import time:       833 |        833 |                           sqlalchemy.sql.operators
import time:       526 |       1359 |                         sqlalchemy.sql.traversals
import time:      2510 |       5736 |                       sqlalchemy.sql.base
import time:      4917 |       4917 |                         sqlalchemy.sql.coercions
import time:       532 |        532 |                               sqlalchemy.sql.annotation
import time:      1254 |       1254 |                                   sqlalchemy.sql.type_api
import time:      4307 |       5560 |                                 sqlalchemy.sql.elements
import time:       162 |        162 |                                 sqlalchemy.util.topological
import time:      1976 |       7698 |                               sqlalchemy.sql.ddl
import time:       257 |        257 |                                       _compat_pickle
import time:       276 |        276 |                                       _pickle
import time:       649 |       1180 |                                     pickle
import time:       122 |        122 |                                       sqlalchemy.engine._py_processors
import time:       112 |        234 |                                     sqlalchemy.engine.processors
import time:      2354 |       3767 |                                   sqlalchemy.sql.sqltypes
import time:      6663 |      10429 |                                 sqlalchemy.sql.selectable
import time:      3234 |      13662 |                               sqlalchemy.sql.schema
import time:       699 |      22589 |                             sqlalchemy.sql.util
import time:      1828 |      24417 |                           sqlalchemy.sql.dml
import time:       915 |      25332 |                         sqlalchemy.sql.crud
import time:      2658 |       2658 |                         sqlalchemy.sql.functions
import time:      4933 |      37838 |                       sqlalchemy.sql.compiler
import time:        97 |         97 |                         sqlalchemy.sql._dml_constructors
import time:       280 |        280 |                         sqlalchemy.sql._elements_constructors
import time:       302 |        302 |                         sqlalchemy.sql._selectable_constructors
import time:       699 |        699 |                         sqlalchemy.sql.lambdas
import time:       342 |       1719 |                       sqlalchemy.sql.expression
import time:       287 |        287 |                       sqlalchemy.sql.default_comparator
import time:       473 |        473 |                         sqlalchemy.sql.events
import time:       344 |        817 |                       sqlalchemy.sql.naming
import time:      4829 |      53667 |                     sqlalchemy.sql
import time:        23 |      53690 |                   sqlalchemy.sql.compiler
import time:      2079 |      61056 |                 sqlalchemy.engine.interfaces
import time:       248 |        248 |                 sqlalchemy.engine.util
import time:       833 |      62136 |               sqlalchemy.engine.base
import time:      1129 |      63264 |             sqlalchemy.engine.events
import time:       111 |        111 |                 sqlalchemy.dialects
import time:       706 |        816 |               sqlalchemy.engine.url
import time:       165 |        165 |               sqlalchemy.engine.mock
import time:       542 |       1522 |             sqlalchemy.engine.create
import time:       822 |        822 |                 sqlalchemy.engine.row
import time:      1853 |       2675 |               sqlalchemy.engine.result
import time:      3301 |       5975 |             sqlalchemy.engine.cursor
